"ID_REF"	"GSM2911176"	"GSM2911177"	"GSM2911178"	"GSM2911179"	"GSM2911180"	"GSM2911181"	"GSM2911182"	"GSM2911183"	"GSM2911184"	"GSM2911185"	"GSM2911186"	"GSM2911187"	"GSM2911188"	"GSM2911189"	"GSM2911190"	"GSM2911191"	"GSM2911192"	"GSM2911193"	"GSM2911194"	"GSM2911195"	"GSM2911196"	"GSM2911197"	"GSM2911198"	"GSM2911199"	"GSM2911200"	"GSM2911201"	"GSM2911202"	"GSM2911203"	"GSM2911204"	"GSM2911205"
25	-1.3572397	-0.62458485	-1.4134817	-1.4944311	-0.6637845	-0.15459937	-0.22802362	0.38242692	-0.04825178	-1.301351	-0.054205786	-0.49814716	-0.46179432	-0.48035127	-0.35164592	-0.47302827	-0.5378546	-1.0121105	-0.45826456	-0.9920753	-0.72721857	-0.51924	-1.1809474	-1.1897572	-0.09057711	-0.56772006	-0.07934689	-0.5156297	-0.783274	1.1318619
26	-0.60182744	-0.15458345	-0.46996143	-0.24698289	0.001334405	-0.12863924	-0.3397419	0.12169649	0.66874254	-0.53192306	-0.1977807	-0.31600317	-0.013394605	0.13883826	-0.3223625	-0.26655236	-0.2799754	0.043990314	-0.13813856	-0.30723023	0.106776804	-0.25642115	-0.5591792	-0.61972266	-0.033138428	-0.01282493	-0.27863804	0.15538682	-0.21237664	1.0560039
27	-0.12273315	-0.05133722	0.05830006	-0.49875337	-0.05104538	-0.026128164	0.23905261	0.64198095	0.15349971	0.19331269	0.20059654	-0.08291938	-0.40092745	0.3364958	-0.2868964	-0.081670135	-0.11598485	0.17431423	-0.15611118	-0.024709139	0.09071661	0.15599506	0.26539576	-0.061283913	-0.07253206	-0.06703886	-0.033290572	0.19725256	0.11580972	0.21873368
28	0.20691067	-0.1658472	0.12754568	0.090327986	0.07464078	-0.018482087	0.007785395	0.16627403	-0.15206744	-0.16982484	0.01416803	-0.28729028	0.15359186	-0.14222588	-0.28538823	-0.007785395	0.5123065	0.46588406	0.19913317	0.35511938	0.2646373	0.07698315	1.0338253	0.95008594	0.074774414	-0.14243034	0.3239352	0.13095756	0.14807501
29	-0.17813723	-0.1524161	0.022628337	0.08427859	-0.4270166	-0.08164021	-0.20352715	-0.08727355	0.0704906	-0.11106678	-0.21244359	-0.05949908	0.0044023	0.036075845	-0.27849317	-0.2878664	-0.39546385	-0.27074742	0.28326383	-0.11224456	-0.23860261	-0.6472305	-0.4261224	0.1465568	0.052192718	0.15797754	0.06304386	0.19994883	-0.3392717	0.5902545
30	-0.32276967	-0.10905086	0.14286408	-0.6533919	-0.12030486	0.22752897	0.002639837	0.103829466	0.15775248	0.046529785	0.56680256	-0.0824765	0.06605201	0.21952096	-0.26787132	-0.2969366	0.31386057	0.23590407	1.8671502	0.2387527	0.34589118	0.026475593	-0.002639837	0.35416287	-0.5013719	-0.43493035	0.77236825	0.32575625	0.9430013	-0.004724469
31	0.8297053	-0.33093628	0.5282154	0.5726944	0.26488054	0.20319082	-0.10406912	-0.18390545	1.71017	-0.025860852	-0.026833301	-0.15995069	0.19913708	2.1737077	-0.26324028	0.30176926	-0.34670648	-0.25399172	0.282525	0.10940695	-0.21003264	-0.4169448	-0.28342447	0.17254876	-0.044491664	-0.15776043	0.11180125	0.16225348	1.9792545	0.20294428
32	1.1287364	0.24934302	0.87905556	0.86574125	0.1258846	-0.3244979	0.048020754	0.055813752	-0.048020754	-0.34468865	-0.4053846	-0.1713087	-0.32823116	-0.34653714	-0.2548447	-0.39906543	1.5811349	0.7142687	-0.08627448	-0.06348815	0.06500514	0.5687382	0.73343176	0.4779574	-0.10515612	1.2692051	1.6230524	1.1935307	0.105261914	-0.59131
33	0.56056356	0.04376142	-0.25011244	1.1688837	-0.24724603	-0.042200647	-0.042435143	0.122143105	-0.10586608	-0.25050044	-0.10298726	-0.08242862	0.07715106	-0.3668622	-0.23861624	0.002501881	0.20400146	-0.10380889	0.5575834	-0.32620475	-0.7476493	-0.8952774	-0.5482653	0.20629393	0.12820178	-0.54478943	0.66250914	-0.107129596	0.22438736	-0.00763622
34	0.25046536	-0.06279179	0.07470946	0.2721618	-0.3705624	0.036634747	-0.046042364	0.024759054	-0.03545578	0.10274999	-0.15442388	-0.32613957	-0.1623644	0.03657931	-0.22053528	-0.1274561	-0.36894107	0.019105218	0.1535187	0.014750081	0.075090736	-0.103687175	-0.19967276	-0.3260628	-0.01830758	-0.20557101	-0.7573974	-0.13302186	-0.20170586
